ts_start,ts_end,src_ip,dst_ip,proto,src_port,dst_port,bytes
2025-04-02T03:00:11Z,2025-04-02T03:00:14Z,10.0.5.14,10.0.2.5,tcp,44812,443,1204
2025-04-02T03:05:40Z,2025-04-02T03:05:47Z,10.0.5.2,10.0.5.22,tcp,49111,22,8812
2025-04-02T03:12:09Z,2025-04-02T03:12:41Z,10.0.5.14,10.0.5.22,tcp,44990,22,240
2025-04-02T03:12:09Z,2025-04-02T03:12:41Z,10.0.5.14,10.0.5.30,tcp,44991,22,240
2025-04-02T03:12:10Z,2025-04-02T03:12:40Z,10.0.5.14,10.0.5.19,tcp,44992,22,60
2025-04-02T03:12:10Z,2025-04-02T03:12:40Z,10.0.5.14,10.0.5.7,tcp,44993,22,60
2025-04-02T03:14:40Z,2025-04-02T03:14:44Z,10.0.5.14,10.0.5.22,tcp,45001,22,3164
2025-04-02T03:15:05Z,2025-04-02T03:15:20Z,10.0.5.14,10.0.5.30,tcp,45018,22,5221
2025-04-02T03:21:07Z,2025-04-02T03:21:09Z,10.0.5.14,10.0.5.22,tcp,45033,22,980
2025-04-02T03:44:02Z,2025-04-02T03:44:15Z,10.0.5.55,10.0.5.30,tcp,52211,443,43110
2025-04-02T04:00:00Z,2025-04-02T04:00:09Z,10.0.5.22,10.0.5.2,tcp,45001,2049,731210
2025-04-02T04:02:31Z,2025-04-02T04:02:40Z,10.0.5.30,10.0.2.9,udp,33112,53,412
